,ID,text,target,target_name,similarity
0,ynat-v1_train_00727,봄맞이 벚꽃 와인으로 취향저격,0,생활문화,0.20313
1,ynat-v1_train_00128,강원도 교원협회 교원들과 일점탈락제 도입에 대한 반대.,3,사회,0.2135
2,ynat-v1_train_01720,페이스북 메신저 암호화 기능 저커버그 미래는 프라이빗,4,IT과학,0.22304
3,ynat-v1_train_01947,"미래에셋대우, 엔씨소프트 매출 1위 확보...매출 목표 상향 조정",5,경제,0.23478
4,ynat-v1_train_01562,"김동연 부총리, 교육계와의 토론회서 혁신적 교육 정책 논의",3,사회,0.19837
5,ynat-v1_train_01116,"삼성, 극적인 역전으로 연패 늪에서 벗어나다",1,스포츠,0.25672
6,ynat-v1_train_01630,아프리카 앙골라의 사형 폐지와 권리 강화...,6,세계,0.19393
7,ynat-v1_train_00181,삼성이 차세대 AI 기술을 선보이며 미래의 식품을 찾고 있다.,4,IT과학,0.28628
8,ynat-v1_train_00906,김정은이 7차 조선 노동당 대회에서 함영도·황해도·강원도 대표로 추가될 예정이다.,2,정치,0.21638
9,ynat-v1_train_00022,교육부의 학교 안전 인력 증대 방안 발표,3,사회,0.22778
10,ynat-v1_train_00320,"장X남 시인, 30년 문학 여정의 결실...신작 출간 기념 행사 개최",0,생활문화,0.20604
11,ynat-v1_train_02098,"LGU+는 3,400달러의 보조금 혜택과 함께 7인승 전기차 리스 6을 출시합니다.",5,경제,0.20908
12,ynat-v1_train_01401,北 김정은의 주체사상 더 많이 아올려야,2,정치,0.22413
13,ynat-v1_train_00987,"새누리당, 지방선거 앞두고 동교동파 지원 촉구",2,정치,0.21315
14,ynat-v1_train_00966,"박근혜 대통령 ""조센징 같은 역할 해야...창업국, 기대""",2,정치,0.24462
15,ynat-v1_train_00953,"용산사옥, 월까지 특별전시로 구족화  ",0,생활문화,0.19074
16,ynat-v1_train_00386,정부가 청소년 인터넷 중독 문제를 해결하기 위한 새로운 정책을 발표한다.,3,사회,0.22262
17,ynat-v1_train_00430,총선 개월 앞인데 선 구 정 안갯 정 인 발 동,2,정치,0.23759
18,ynat-v1_train_00840,클래식으로 물드는 13번째 (종합),0,생활문화,0.19435
19,ynat-v1_train_02524,"이스트시큐리티, 한국인터넷진흥원에 APT 대응 솔루션 제공",4,IT과학,0.23332
20,ynat-v1_train_01655,거창제 연극제를 강탈하려 합니다,0,생활문화,0.20472
21,ynat-v1_train_00921,"오늘밤부터 서울, 영하 8도 강한 추위",0,생활문화,0.21503
22,ynat-v1_train_02200,사진작가 빈센트 반 고흐의 작품 전시회 개최,0,생활문화,0.18184
23,ynat-v1_train_02784,"한국 대 베트남 5차 결승전, 3-0 농구 챔피언십 결승전",1,스포츠,0.21503
24,ynat-v1_train_00639,"중국, IBM, AI 혁신 토론... 기술 협력 확대 기대",6,세계,0.21453
25,ynat-v1_train_00804,북한 블랙리스트에 고위 외교관을 추가합니다... 첫 번째 대사 사건,2,정치,0.234
26,ynat-v1_train_00279,"최지만, 시즌 첫 3루타 후 종아리 부상",1,스포츠,0.23023
27,1171,"패스트트랙 법안 수사 관련 검찰, 국회 및 운영위 등 압수수색",2,정치,0.24754
28,ynat-v1_train_00914,국제 주택도시금융포럼 개최,5,경제,0.1855
29,ynat-v1_train_00174,"이란, 중동서 새로운 외교 전략 발표",6,세계,0.23317
30,ynat-v1_train_01295,인도네시아에 10억 달러 규모의 사업 무더기 계약 체결,6,세계,0.18912
31,ynat-v1_train_02753,"숲 힐링 워크 콘테스트, 숲에서의 2주간의 힐링 경험.",0,생활문화,0.20603
32,ynat-v1_train_01102,"가빈과 산체, '우리가 꿈꾸던 팀' 웃으며 달궜다",1,스포츠,0.22986
33,ynat-v1_train_01694,"철쭉 만발, 호남권 산정상 여행객 환호",0,생활문화,0.22781
34,ynat-v1_train_02534,"카카오엔터프라이즈, 국내 최고 기업형 IT 플랫폼 건설 나서",4,IT과학,0.23113
35,ynat-v1_train_02742,"美 주멕스 대사, 프리다 사상에 대한 이해 부족 논란",6,세계,0.19987
36,ynat-v1_train_02258,"친박계 의원들, 광화문 촛불집회 시 단양 골프 회동",2,정치,0.22813
37,917,오늘 LG전자 먼지흡입물걸레질 무선 청소기 출시,4,IT과학,0.26657
38,2245,자사주 추가 매입 자신감 드러낸 KT 조준호...G6 성공할까,5,경제,0.2458
39,ynat-v1_train_01785,"무전력 메모리, 전력 소비 없이 작동 가능성 확인",4,IT과학,0.20194
40,ynat-v1_train_00137,2017 올해의 연극 베스트3 '옥상 밭': 고추 재공연 이유,0,생활문화,0.21815
41,ynat-v1_train_00102,"미국 불황 영향, 코스피 2360대 하락",5,경제,0.22336
42,ynat-v1_train_01686,혐탄이 폐지된 뒤 박사 학위를 받은 한상석 교수의 강의.,0,생활문화,0.18256
43,ynat-v1_train_02344,프랑스 정부는 에너지 공급 문제를 해결하기 위한 긴급 조치를 발표한다.,6,세계,0.24371
44,ynat-v1_train_01011,"북한, 개성공단 남측 관계자 오후 5시 30분까지 배출",2,정치,0.22767
45,ynat-v1_train_02031,"김종민, 도로공사 감독 '차전' 불안 속에 힘씀",1,스포츠,0.21788
46,ynat-v1_train_00167,손흥민 대표팀 합류 시점은 일 소집 참가 어려워,1,스포츠,0.21153
47,ynat-v1_train_00639,中 선제적 입막음 사이 안 논의에 끌어들여,6,세계,0.22591
48,ynat-v1_train_02796,삼성 갤럭시 정식 출시 첫 주말 이통시장 잠잠,4,IT과학,0.25024
49,ynat-v1_train_01319,"원달러 환율 하락, G국 지표 영향으로 국내 경제에 긍정적 신호",5,경제,0.23193
50,ynat-v1_train_02210,"강릉원주대, 2주 연기된 새 학기 개막",3,사회,0.21049
51,ynat-v1_train_01691,"아시안게임, 오지환·박해민 등 109명 엔트리 확정",1,스포츠,0.20617
52,ynat-v1_train_01699,"바이오, 성장 가능성 잠재력 존재에도 투자·성과 부족",5,경제,0.20571
53,ynat-v1_train_01525,"환경단체, 노란조 차량 집회로 교통 혼란 예고",6,세계,0.20333
54,1771,닐 워드 테일러 워커 맨시티 공식 입단...영 선수 최대 이적료,1,스포츠,0.20869
