,index,ID,text,target,target_name,source,similarity,predicted_value
0,52,ynat-v1_train_00013,"구글, AI 기술로 데이터 분석 자동화 혁신",4,IT과학,noisy,0.32947,5
1,52,ynat-v1_train_00013,"마이크로소프트, AI 도입으로 클라우드 서비스 강화",4,IT과학,noisy,0.32947,5
2,52,ynat-v1_train_00013,"테슬라, AI 기반 자율주행 기술 업데이트",4,IT과학,noisy,0.32947,5
3,52,ynat-v1_train_00013,"애플, AI 적용한 새로운 아이폰 모델 발표",4,IT과학,noisy,0.32947,5
4,52,ynat-v1_train_00013,삼성전자가 AI 기반 신제품 출시로 업무 효율을 극대화한다.,4,IT과학,noisy,0.32947,5
5,52,ynat-v1_train_00013,"IBM, 스마트 헬스케어 솔루션 공개",4,IT과학,noisy,0.32947,5
6,135,ynat-v1_train_00031,"세계 무역 리더들이 모인 KINU, 글로벌 경제 패러다임 전환의 물결 시작된",3,사회,noisy,0.18863,0
7,135,ynat-v1_train_00031,"국제 무역가들의 전략적 협력, KINU에서 미래 경제 질서 재정립하다",3,사회,noisy,0.18863,0
8,135,ynat-v1_train_00031,"KINU 회의가 촉발한 무역업계의 새 시대, 글로벌 경제 판도의 변화 예고",3,사회,noisy,0.18863,0
9,135,ynat-v1_train_00031,"국제 무역계의 슈퍼스타들이 한자리에, KINU 컨퍼런스에서 미래 경제 전망 논하다",3,사회,noisy,0.18863,0
10,135,ynat-v1_train_00031,"세계 각국의 무역 전문가들이 모인 KINU 포럼, 글로벌 경제 혁신의 중심이 되다",3,사회,noisy,0.18863,0
11,135,ynat-v1_train_00031,"1,000명의 세계 무역가들이 발산하는 KINU는 세계 경제의 새로운 주인공을 낳는다.",3,사회,noisy,0.18863,0
12,201,ynat-v1_train_00047,김종린은 이번 충격이 리비아 사태처럼 6개월 동안 지속될 것이라고 전망했다.,2,정치,noisy,0.21232,6
13,200,ynat-v1_train_00047,"환경 보호 단체, 탄소 배출 기업들에 대한 강력한 제재 촉구",2,정치,noisy,0.20913,6
14,200,ynat-v1_train_00047,"신규 스타트업 B사, 혁신적인 기술 공개로 주목",2,정치,noisy,0.20913,6
15,200,ynat-v1_train_00047,"대기업 A사, 글로벌 시장에서 신뢰 회복 위기",2,정치,noisy,0.20913,6
16,200,ynat-v1_train_00047,"교육계, 온라인 수업 확대에 따른 학습 격차 해소 방안 마련",2,정치,noisy,0.20913,6
17,201,ynat-v1_train_00047,"스타트업 경제, 정부 지원금 30% 증가",2,정치,noisy,0.21232,6
