,Unnamed: 0,target,text
0,0,정치,새로운 정책 발표로 국민 반응은?
1,1,정치,"대선 후보, 경제 공약 확대 전략 추진"
2,2,정치,"국회 긴급한 회의 소집, 중요 법안 논의 예고"
3,3,정치,"야당, 과행정 비판 강화 '총력'  mobilze "
4,4,정치,지방 선거 결과 분석: 여당 지지율 변동 주목
5,5,정치,"국제 정세 악화 속, 국내 정치 불안감 고조"
6,6,정치,"대표자의 역할 재정립 논의, 정치 개혁 필요성 제기"
7,7,정치,"정치 기부 관련법 개정 쟁점, 사회적 합의 절차 시행"
8,8,정치,정치권 연대 강화 위한 '다모임' 결성 발표
9,9,정치,"개인정보보호 법률 개정안 논란, 정치적 갈등 심화"
10,10,정치,한반도 평화협력 증진을 위한 국제 사회 움직임
11,11,정치,"지역 주민 참여 확대, 민주주의 강화 방안 모색"
12,12,정치,환경 문제에 대한 정책 집행 과정 투명성 향상 추구
13,13,정치,"사회 약자 보호 정책 강화, 새로운 정치 의제로 부각"
14,14,정치,"언론의 자유와 독립성, 국민 참여를 통한 지속 가능성 확보"
15,15,정치,"중소기업 지원 정책 논의 본격화, 경제 성장 동력으로 강화"
16,16,정치,정치 시스템 개혁을 위한 사회적 토론 가열되고
17,17,정치,정보통신 기술 발전과 정치 환경 변화 맞춰 제도 개선 필요성 부각
18,18,정치,대학생활이 국민의 정치 참여 활성화에 미치는 영향 분석
19,19,정치,국민 감시 강화를 위한 정치 시스템 전환 논의
20,20,정치,정치 의사결정 과정에서 공개성 확보 필요성 대두
21,21,정치,"젊은 세대의 정치 참여 증가, 새로운 정치풍 변화 예상"
22,22,정치,인공지능 기술 도입으로 정치 시스템 전환 가고 있는 현실
23,23,정치,"글로벌 협력 네트워크 구축, 국제 정치적 상황 개선 노력"
24,24,정치,"사회 통합을 위한 정치적 노력, 다양성 존중과 이해 증진"
25,25,정치,정치 인물들의 윤리 의식 강화 필요성 제기
26,26,정치,"국민 소통 채널 확대, 민주주의 발전에 기여"
27,27,정치,온라인 플랫폼 활용으로 정치 참여 방식 변화 추세
28,28,정치,"시민 운동의 정치 영향력 증가, 사회 변화 주도"
29,29,정치,"정책 효과성 평가 시스템 구축, 정치 과학적 접근 확대"
30,30,정치,"국제 기구와의 협력 강화, 공동 문제 해결 노력"
31,31,정치,전 세계적으로 지속 가능한 발전을 위한 정치적 움직임 활발하게 진행
32,32,정치,정치 참여율 저하 이유 분석 및 개선 방안 모색
33,33,정치,시민들의 정치 의식 고취를 위한 교육 프로그램 확대 추진
34,34,정치,"비판적인 사고 능력 함양, 건전한 시민 역할 강화 필요성"
35,35,정치,"정치 개혁 노력 지속적이며, 국민 참여가 중요함을 강조"
36,36,정치,사회 변화에 따라 정치 체계도 적응해야 하는 현실
37,37,정치,지역사회 문제 해결 위한 지역 주민과 정치인의 소통 확대 추진
38,38,정치,환경 문제 해결을 위한 국제 정치적 협력 강화 노력
39,39,정치,평화로운 사회 구축을 위한 국제 정세 개선을 위한 노력
40,40,정치,"정치 리더의 역할 중요성, 민주주의 지지와 발전에 기여해야 함"
41,41,정치,정보 시대에 맞는 정책 수립 및 실행 방안 모색
42,42,정치,소외 계층 문제 해결을 위한 사회적 정책 추진 필요성 강조
43,43,정치,정치 분열 완화를 위한 다양한 의견 포용하고 소통 확대
44,44,정치,사회적 불평등 해소를 위한 정책 제안 및 실행
45,45,정치,정치 참여 활성화를 위한 온라인 플랫폼 활용 방안 모색
46,46,정치,"국민의 권리 보호 및 법치주의 강화, 국내 정치 개선 노력"
47,47,정치,지속 가능한 사회 발전을 위한 정책 수립 및 실행 필요성
48,48,정치,정치 시스템 투명성 제고를 위한 노력 지속해야 함
49,49,정치,국민의 신뢰 확보를 위한 정치인의 윤리 의식 강화 필요성
50,50,정치,사회적 책임을 중시하는 정치 환경 조성
51,51,정치,"정치와 사회적 문제 해결, 상호 연관성을 인지하고 접근해야 함"
52,52,정치,정치 분쟁 해결을 위한 대화와 협상 중요성 강조
53,53,정치,"세계적인 경제 불황 속, 국내 정치 및 경제 개선 노력"
54,54,정치,인구 감소 문제 해결을 위한 정책 추진 필요성 부각
55,55,정치,사회 변화에 대한 적응력 있는 정치 시스템 구축 필요성
56,56,정치,국민의 의견을 반영한 정책 수립 및 실행
57,57,정치,지역 경제 활성화를 위한 정책 지원 강화
58,58,정치,정치 개혁 과정에서 국민 참여와 소통 중요성 다시 한번 강조됨
59,59,정치,기후 변화 대응을 위한 국제적 정치 협력 확대 추진
60,60,정치,AI 기술 활용으로 효율적인 정책 수립 및 실행 방안 모색
61,61,정치,전 세계적으로 지속 가능한 발전 목표 달성을 위한 정치적 노력 강화됨
62,62,정치,사회 통합을 위한 다문화 사회 정책 확대 필요성 제기
63,63,정치,정치인의 투명하고 책임감 있는 행동 강조
64,64,정치,"세계적으로 급변하는 환경 속, 국내 정치 시스템도 변화해야 함"
65,65,정치,국민 참여 확대를 통한 민주주의 발전 노력 지속
66,66,정치,정치의 윤리적 기준 강화 및 사회 신뢰 회복
67,67,정치,사회적 약자 보호를 위한 정책 지원 확대 필요성
68,68,경제,"통화위원회, 금리 인상 시나리오 점검"
69,69,경제,"대기업, 1분기 실적 감소 전망… 글로벌 경기 불안 지속"
70,70,경제,"주식시장, 국내외 경제 불확실성에 대한 우려 심화"
71,71,경제,"IT 산업, 인공지능 기술 발전으로 새로운 성장 기회 노려"
72,72,경제,"은행, 소액대출 대체금리 시스템 도입… 민간 금융 활성화 추진"
73,73,경제,"국내 주택 가격, 지속적인 하락세 예상… 전문가 '재정 불안 심화' 경고"
74,74,경제,"미국, 인플레이션 억제 위한 추가 조치 논의"
75,75,경제,"IMF, 글로벌 경제 성장률 하향 조정… 세계 경기 위축 우려 증대"
76,76,경제,"한류 콘텐츠, 해외 시장에서 새로운 수익 창출 기회 마련"
77,77,경제,스타트업 투자 활성화 위한 정책 지원 강화 추진
78,78,경제,고용 부문 회복 속도 둔화… 경제 성장 동력 약화 우려
79,79,경제,국내 소비 심각한 위축… 경제 구조 개선 필요성 재확인
80,80,경제,"대규모 외국인 투자 유치, 한국 경제 활성화 기반 마련"
81,81,경제,해외 원자재 가격 상승 속도 악화… 국내 물가 상승 부담 증가
82,82,경제,금융시장 불안 심화 우려… 투자자들의 '분산투자' 전환 현상 증가
83,83,경제,"한국 경제, 중국의 주요 수출처로 자리매김"
84,84,경제,"소득 불평등 심화 문제, 사회적 갈등 야기"
85,85,경제,인공지능 기술 도입으로 인한 고용 감소 우려 해소 방안 모색
86,86,경제,"금융 혁신 기업, 경제 성장 동력으로 주목받음"
87,87,경제,ESG 투자 활성화… 지속가능한 경영 모델 중요성 부각
88,88,경제,친환경 기술 개발 투자 확대… 한국 경제 미래 선도
89,89,경제,디지털 전환 속도를 높이는 정책 필요성 대두
90,90,경제,사회적 책임 기업 활동 증가… 사회 발전에 기여
91,91,경제,"국내 중소기업, 해외 시장 진출 위한 지원 확대"
92,92,경제,"투자 유치 활성화, 한국 경제 성장 촉진 요인"
93,93,경제,"경제 불황, 소비심 저하… 식품 및 서비스 산업 영향 심각"
94,94,경제,금리 인상으로 인한 대출 비용 증가… 실업률 상승 우려
95,95,경제,"IT 기술 분야, 해외 능력자 유치 활성화"
96,96,경제,전기차 시장 성장 가속… 친환경 에너지 확대 추진
97,97,경제,미래 도시 구축을 위한 투자 증가… 스마트 기반 사회 구축
98,98,경제,"인공지능, 창업 및 일자리 창출 촉진 효과 예상"
99,99,경제,"데이터 분석 기술 활용, 경제 효율성 제고 노력"
100,100,경제,"불규칙적 소비 행태 개선, 지속 가능한 경제 발전 도모"
101,101,경제,"농업 분야, 스마트 기술 적용으로 생산성 향상"
102,102,경제,"관광 산업, 해외 관광객 유치 노력 강화… 경제 활성화 기대"
103,103,경제,온라인 쇼핑 증가 추세 지속… 소비 패턴 변화에 따라 새로운 사업 모델 등장
104,104,사회,"새로운 정책 발표, 사회적 약자 위한 지원 확대"
105,105,사회,"기업 CSR 참여 증가, 사회 공헌 활동에 대한 관심 고조"
106,106,사회,"인구 감소 심화, 노년층 돌봄 문제 재점화"
107,107,사회,"지역 주민 대상 교육 프로그램 운영 시작, 지역 경제 활성화 도모"
108,108,사회,사회적 거리감 해소 위해 온라인 커뮤니티 활용 확대
109,109,사회,"환경 보호를 위한 시민들의 움직임, 사회적으로 큰 공감 얻음"
110,110,사회,"아동 학폭 사건 증가 우려, 사회적 관심과 대책 마련 필요성 강조"
111,111,사회,장애인 인권 향상을 위한 법 개정 논의 시작
112,112,사회,사회 분열 해소 위해 다양성 존중 및 이해 중요성 강조
113,113,사회,"여성 참여 확대, 사회 발전에 필수적 요소로 인식"
114,114,사회,기술 변화 속 사회 적응력 강화 위한 교육 필요성 증대
115,115,사회,지속 가능한 사회 건설을 위한 지역사회 연계 프로그램 확산
116,116,사회,"사회적 불평등 해소, 국민들의 생활 질 향상 노력 계속 진행"
117,117,사회,"새로운 혁신 기업 활동, 지역 경제와 사회 발전에 기여"
118,118,사회,"사이버 공격 증가로 인한 사회적 파장 심각, 대응 방안 마련 필요"
119,119,사회,"소셜 미디어의 영향력 확대, 사회 분위기 형성에 큰 역할"
120,120,사회,사회 통합을 위한 다문화 이해 및 존중 교육 활성화
121,121,사회,"사회 복지 시스템 강화, 취약계층 지원 확대 필요"
122,122,사회,"빈곤 문제 심각해짐, 사회적 책임 의식 고취 필요"
123,123,사회,"인공지능 기술 발전, 사회 변화에 대한 준비 중요"
